estimate	std_error	t_value	p_values	r_sq	FDR
Xq	1.73764287845167e-15	1.83891692290758e-16	9.44927341091744	9.01064415335469e-16	1	2.61308680447286e-14
17q	-1.86028783254058e-15	2.10714953432375e-16	-8.82845665311364	2.26063274105371e-14	1	3.27791747452787e-13
17p	-2.09505950486947e-15	2.98069932302363e-16	-7.02875157076976	2.03283368780165e-10	1	1.96507256487493e-09
20q	-1.71079368684192e-15	2.4815374337038e-16	-6.89408776835773	3.9245126969551e-10	1	2.84527170529245e-09
7p	-2.99519746063442e-15	4.87021770016911e-16	-6.15002787355976	1.36267550461678e-08	1	7.9035179267773e-08
4q	2.2362546110628e-15	3.70358606440186e-16	6.0380792350345	2.29024795890119e-08	1	1.10695318013557e-07
15q	-1.09653059475233e-15	2.49664703771748e-16	-4.39201288042229	2.64993609646386e-05	1	0.000109783066853503
8p	-5.97850319700516e-16	1.69606538904483e-16	-3.52492494429832	0.000624739743951431	1	0.00226468157182394
11p	1.08133765093642e-15	3.58027395151116e-16	3.02026511261803	0.00315877734935162	1	0.010178282570133
1q	5.71280316022454e-16	2.51286939266462e-16	2.27341825918248	0.0249976910900892	1	0.0724933041612587
3q	1.63481660868319e-15	8.86444319091922e-16	1.84424060651424	0.0679146339808598	1	0.179047671404085
16q	-2.47856220908261e-16	1.46640298088664e-16	-1.69023265868157	0.0938948371903166	1	0.209570377673586
10q	5.64389488007721e-16	3.33964309089499e-16	1.68996947472153	0.0939453417157453	1	0.209570377673586
18q	9.74943548322372e-16	6.37700849347502e-16	1.52884153960268	0.129254677685602	1	0.267741832348746
12p	-6.64668332468407e-16	4.56117131836566e-16	-1.45723167597785	0.147981007917917	1	0.286096615307974
18p	-8.6599912818777e-16	7.13379570979011e-16	-1.21393878296698	0.227443727876138	1	0.376485873426848
8q	5.40340927889659e-16	4.49513596860165e-16	1.20205691588401	0.231995045413732	1	0.376485873426848
4p	-9.55517838647703e-16	7.97795026950484e-16	-1.19769841421562	0.233680886954595	1	0.376485873426848
6p	7.21389048688685e-16	7.3554539548975e-16	0.980753945456161	0.328926450365517	1	0.502045634768421
3p	5.89436500506865e-16	6.65206985561969e-16	0.886094874678604	0.377553541178833	1	0.547452634709308
21p	1.04085666620541e-15	1.4984987851639e-15	0.694599606293016	0.488811757504447	1	0.675025760363284
5q	5.67627785985235e-16	1.00431848356467e-15	0.565187035063351	0.573129701827275	1	0.749824270822116
Xp	4.59911222385628e-16	8.98625500136455e-16	0.511794092551114	0.609849779092871	1	0.749824270822116
20p	-3.63766703315169e-16	7.43129620756131e-16	-0.489506397208388	0.625485261236851	1	0.749824270822116
21q	5.45512025365301e-16	1.18571788815635e-15	0.460068985054707	0.646400233467341	1	0.749824270822116
5p	3.79761508531661e-16	1.22771257372263e-15	0.309324443407922	0.757676280610337	1	0.844938947111488
22q	-3.18247826114277e-16	1.18279733499412e-15	-0.269063698994435	0.788398801083005	1	0.844938947111488
19q	-5.94825071719815e-17	2.54720276307918e-16	-0.233520896075333	0.815803121349023	1	0.844938947111488
14q	-6.50087865135911e-17	4.09375004871944e-16	-0.158800087303636	0.87412571993006	1	0.87412571993006
